s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,true,true,false,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,20,-0.9067525345022783,2815.0,65666
false,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,24,-0.8735050740838768,3003.0,130236
false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,false,true,false,true,true,true,false,false,true,false,false,2,-0.8792623586234288,406.0,193390
true,false,false,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,true,false,false,false,true,true,false,false,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,false,false,false,true,true,1,-0.7985027289542492,165.0,256649
false,false,false,true,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,17,-0.9215221258604995,2279.0,321589
true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,false,true,true,false,9,-0.9311497206877732,1408.0,386611
true,false,true,false,false,true,false,true,false,true,true,true,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,true,false,true,false,true,false,true,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,true,false,true,true,false,true,false,false,true,false,true,false,true,false,false,false,2,-0.880294233621011,248.0,449481
false,false,false,false,false,true,true,true,false,false,true,false,true,false,true,true,true,true,true,false,true,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,true,false,false,false,true,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,23,-0.9330240730136543,3673.0,514135
false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,7,-0.9606921997782382,1016.0,579417
false,true,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,19,-0.963159812495161,2679.0,644007
false,true,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,false,false,false,true,false,true,true,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,36,-0.9077765695663923,5163.0,709556
true,true,false,true,true,false,false,true,false,false,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,false,false,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,23,-0.9239791316636741,3683.0,775863
false,false,false,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,4,-0.9231009412706775,586.0,839565
true,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,28,-0.9262026948066763,3999.0,903869
true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,true,false,false,true,true,false,true,true,false,24,-0.933002914290196,3585.0,969279
true,true,true,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,true,true,false,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,false,9,-0.9078919383542096,1233.0,1034750
false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,true,true,false,false,true,false,true,false,true,true,true,false,false,false,false,false,true,true,false,16,-0.8763620899150414,1896.0,1100116
true,false,false,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,false,false,true,true,true,true,true,true,false,true,2,-0.8755977370131495,364.0,1163735
false,false,true,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true,37,-0.8975797834003744,5539.0,1229636
true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,true,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false,true,true,true,21,-0.9041713856561574,3101.0,1294638
false,false,false,true,false,false,true,true,false,false,true,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,true,3,-0.9173013951028545,523.0,1362973
true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,true,true,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,3,-0.9036132202260221,573.0,1431372
false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false,true,false,true,false,false,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,2,-0.8616443166325766,351.0,1500041
false,false,false,true,true,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,false,false,4,-0.9173830880023001,607.0,1568081
false,false,false,true,false,false,true,false,false,true,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,true,true,false,false,17,-0.8954793339815508,2577.0,1636866
true,true,false,true,false,true,false,true,true,false,true,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,1,-0.5557775018082439,179.0,1704162
true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,1,-0.5557775018082439,136.0,1771537
true,false,false,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,2,-0.8799575529948525,383.0,1840751
true,true,true,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true,true,false,true,true,false,false,false,true,true,true,true,true,false,false,false,true,false,false,1,-0.5557775018082439,140.0,1908740
true,false,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,true,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true,true,true,false,true,false,false,false,true,17,-0.9223618331367982,2685.0,1979464
false,false,false,true,true,false,true,false,true,true,true,false,false,false,false,false,false,true,false,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,false,false,4,-0.9109391387905746,725.0,2049096
false,true,false,false,false,false,false,true,false,true,true,true,true,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,34,-0.9079845819353081,6183.0,2120227
false,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,5,-0.9595347976750752,973.0,2190004
false,true,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,true,true,false,false,true,false,false,true,false,true,true,false,true,false,false,1,-0.44255009302229414,126.0,2257573
false,true,false,false,true,false,true,false,false,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,14,-0.9038055100694123,2513.0,2328662
true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,false,false,false,false,false,false,40,-0.9427620030594975,5675.0,2399569
