s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,false,false,true,true,false,25,-0.9191151284122366,7535.0,153116
true,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,false,false,true,true,false,false,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,false,37,-0.9184608708735886,3685.0,215438
true,false,false,false,false,true,false,true,true,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,true,false,true,true,false,false,true,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,false,true,true,false,true,21,-0.9384451926837537,2413.0,277848
true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,false,true,false,true,false,true,false,true,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,false,22,-0.8817741410845884,3039.0,340849
false,true,true,false,true,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,6,-0.9286194365893609,839.0,401318
false,false,true,true,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,41,-0.9420975140895426,4995.0,463403
false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,true,false,false,6,-0.9194692465754336,758.0,524347
false,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false,false,true,true,false,false,7,-0.9053902422044995,935.0,586681
true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,true,true,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,2,-0.8731877397241206,375.0,646340
false,true,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,10,-0.9102827474587262,1236.0,708604
