s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,True,True,True,9.0,-0.917921903616893,1620.0,0,
False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,32.0,-0.9268942933277068,4143.0,0,
False,False,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,44.0,-0.8921369708931464,6139.0,0,
True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,21.0,-0.8982338756066398,2981.0,0,
True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,27.0,-0.8700497849321819,3441.0,0,
False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,1.0,-0.904494442858909,409.0,0,
False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,13.0,-0.879677337894816,1675.0,0,
True,True,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,39.0,-0.9427161962015393,6227.0,0,
True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,24.0,-0.9202126097488499,3709.0,0,
False,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,True,True,47.0,-0.9387148343616281,6443.0,0,
