s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
False,True,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,28.0,-0.9306820203853208,3517.0,0,
True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,True,6.0,-0.952073467500229,1117.0,0,
True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,15.0,-0.9373965595606378,2429.0,0,
False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,48.0,-0.8776539984534938,5743.0,0,
False,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,2.0,-0.9135900830688376,543.0,0,
True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,36.0,-0.9066114235782031,5127.0,0,
True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,True,41.0,-0.924112846130235,5019.0,0,
False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,20.0,-0.9213263645033695,3221.0,0,
False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,False,True,True,True,45.0,-0.9468006068080704,5323.0,0,
True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,False,False,18.0,-0.916275612056501,3075.0,0,
True,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,2.0,-0.9195997106150215,577.0,0,
True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,0.0,-0.8250605616479761,101.0,0,
True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,0.0,-0.8734918639447093,144.0,0,
True,True,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,0.0,-0.7985027289542492,143.0,0,
True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,False,False,False,1.0,-0.8728304874584712,354.0,0,
False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,0.0,-0.8250605616479761,128.0,0,
False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,False,False,True,0.0,-0.8734918639447093,138.0,0,
False,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,0.0,-0.8250605616479761,124.0,0,
True,True,True,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,0.0,-0.8250605616479761,176.0,0,
True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,True,0.0,-0.8734918639447093,135.0,0,
False,False,True,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,0.0,-0.7985027289542492,132.0,0,
True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,0.0,-0.5557775018082439,138.0,0,
False,False,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,0.0,-0.8734918639447093,108.0,0,
True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,True,True,0.0,-0.8734918639447093,138.0,0,
True,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,0.0,-0.7951443329642743,119.0,0,
True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,True,0.0,-0.7985027289542492,131.0,0,
False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,0.0,-0.8734918639447093,110.0,0,
False,True,False,True,False,True,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,0.0,-0.740960209340618,148.0,0,
True,False,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,False,True,True,0.0,-0.8734918639447093,129.0,0,
True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,0.0,-0.8250605616479761,103.0,0,
False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,0.0,-0.5557775018082439,156.0,0,
False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,True,1.0,-0.9036787679720304,389.0,0,
False,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,0.0,-0.7343569046213958,172.0,0,
True,False,True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,0.0,-0.8734918639447093,198.0,0,
True,False,False,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,0.0,-0.8734918639447093,177.0,0,
False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,0.0,-0.7985027289542492,168.0,0,
False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,0.0,-0.8184482311811985,107.0,0,
True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,0.0,-0.7828290644512629,150.0,0,
False,True,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,0.0,-0.8373355785136807,127.0,0,
False,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,0.0,-0.8734918639447093,145.0,0,
False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,7.0,-0.9141382540291252,1220.0,0,
True,False,True,False,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,0.0,-0.8373355785136807,84.0,0,
True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,1.0,-0.8564430862595573,347.0,0,
True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,True,0.0,-0.8734918639447093,116.0,0,
False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,0.0,-0.8062286485747332,152.0,0,
True,False,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,0.0,-0.8250605616479761,85.0,0,
False,True,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,0.0,-0.8734918639447093,112.0,0,
