pkt_depth,neg_f1_score,compute_cost
6,-0.9393301878347726,717.9999999999995
22,-0.9421116912513736,3233.0
13,-0.9394248744465034,1680.999999999999
34,-0.8863599374682344,3603.0
27,-0.9410714126995228,3686.999999999998
23,-0.9533862383157538,2996.9999999999977
10,-0.9391160374875104,1354.9999999999998
28,-0.9220642490809982,2931.0
43,-0.9092190328248674,5906.999999999997
2,-0.8751535260907334,426.9999999999999
44,-0.9045275718427258,6362.9999999999945
2,-0.8626508627370219,476.9999999999998
2,-0.8582061590538471,352.99999999999994
2,-0.9039171428112412,340.00000000000006
2,-0.9039171428112412,407.99999999999983
2,-0.9039171428112412,346.00000000000006
2,-0.8960135921352589,222.00000000000003
2,-0.8842726225576819,213.99999999999991
2,-0.8933361841505985,235.99999999999983
2,-0.8803116193815262,342.99999999999994
2,-0.8262473091575442,266.99999999999994
47,-0.8748800502339592,5651.000000000003
2,-0.8755977370131495,378.0
2,-0.8376251726961963,193.00000000000003
2,-0.8499857141675496,318.99999999999994
2,-0.840798361370411,203.9999999999999
2,-0.8846328082974152,276.99999999999994
2,-0.8966605926338133,202.99999999999997
2,-0.8846355548560643,216.00000000000003
2,-0.884830779587505,214.9999999999999
2,-0.8939229767413057,175.99999999999994
2,-0.8874705828887236,236.99999999999983
2,-0.8830934097030906,416.0
2,-0.8830934097030906,183.00000000000009
12,-0.9619818857533872,1706.999999999999
2,-0.8755977370131495,297.00000000000006
2,-0.8782277748698372,222.99999999999997
2,-0.8830934097030906,219.99999999999991
2,-0.8869394498848973,202.0
31,-0.8957723545804924,4595.000000000001
2,-0.8803116193815262,181.0
2,-0.8755977370131495,171.99999999999991
2,-0.8802075173182843,202.0
2,-0.8404294985164433,179.9999999999999
16,-0.9186742891086944,2095.0
2,-0.894031453227646,335.0
2,-0.8965359526640114,355.9999999999999
6,-0.9083144656352432,662.9999999999998
2,-0.8799575529948525,232.99999999999983
2,-0.8937727785338685,357.0
12,-0.9282918682167368,2019.9999999999984
2,-0.8829175010168033,337.00000000000006
2,-0.839428433056369,322.9999999999999
2,-0.8755977370131495,221.0
2,-0.8755977370131495,274.9999999999999
2,-0.8937727785338685,287.00000000000006
2,-0.8830934097030906,181.0
2,-0.8839016090252122,301.0
2,-0.8755977370131495,294.99999999999994
15,-0.9593767935329056,2134.999999999999
2,-0.8846549268141157,241.99999999999997
2,-0.8966605926338133,315.9999999999999
2,-0.8830934097030906,383.99999999999983
2,-0.8376251726961963,214.9999999999999
2,-0.884450869130499,202.99999999999997
2,-0.8829175010168033,278.9999999999999
2,-0.8755977370131495,155.99999999999994
2,-0.8621777604799908,202.99999999999997
2,-0.8940206857927008,141.00000000000003
2,-0.8874705828887236,192.0
19,-0.938898602152334,2646.999999999998
2,-0.8962799236298313,141.00000000000003
2,-0.8962799236298313,151.0
2,-0.887080061379792,343.99999999999983
2,-0.86815828401793,207.0
5,-0.9186745778617762,516.0
13,-0.9199616198028427,1392.999999999999
2,-0.888249813251372,183.99999999999991
2,-0.886068656487405,248.9999999999999
