s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,32,-0.9355192008330379,3175.0,64153
true,true,false,false,true,false,false,false,true,false,true,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,8,-0.9266173093675784,957.0,127561
true,true,false,false,false,true,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,4,-0.9527938285289819,669.0,190391
true,false,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,true,false,false,true,false,false,true,12,-0.9529823623713912,1376.0,255430
false,false,false,true,true,true,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,19,-0.9127005831935069,1797.0,319786
false,false,true,false,true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,true,true,false,true,true,true,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,12,-0.956195415634793,1239.0,383338
true,false,false,true,false,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,true,false,false,true,true,40,-0.9185702206793201,5363.0,449238
false,false,true,false,true,false,false,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,13,-0.9315651100005199,1697.0,513276
false,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,false,false,true,42,-0.9099318401713934,5187.0,577801
true,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,22,-0.9277742858155623,3309.0,641523
true,true,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,3,-0.8896691248801838,407.0,704147
false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,false,false,true,true,true,true,false,false,true,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,23,-0.9441250111003098,3887.0,768984
true,false,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,true,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,2,-0.8219215980725381,278.0,831800
true,true,true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,true,true,false,26,-0.910280653612252,3531.0,896102
true,false,false,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,16,-0.9006269392747301,2121.0,961229
true,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,10,-0.943995534134003,1138.0,1024638
true,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,9,-0.8883798654537838,1173.0,1088430
