dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,true,true,false,true,11,-0.9167250675301114,1814.9999999999993,1301261
true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true,1,-0.8184482311811985,134.99999999999991,1376486
false,true,false,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,false,true,true,23,-0.9186783853438744,3495.0,1454290
true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,false,true,true,false,false,false,true,true,false,true,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,2,-0.877991046880312,428.9999999999999,1531873
true,true,false,true,false,true,true,true,false,false,true,true,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,true,false,true,true,2,-0.8489014377401578,424.99999999999983,1609565
true,true,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,false,18,-0.8993314914888229,2748.999999999999,1687412
true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,true,true,19,-0.9088089719232058,2948.999999999999,1765145
true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,false,false,true,false,true,false,true,true,false,false,true,8,-0.9343511674430285,1148.0,1842894
true,true,false,true,false,true,true,true,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,8,-0.9344306603354771,1197.0,1920848
true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,false,true,true,true,false,false,true,true,true,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,9,-0.9070282222253001,1476.9999999999995,2000173
true,true,false,true,false,true,true,true,false,false,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,true,true,false,false,true,20,-0.9197564038171334,3451.0,2079430
false,true,true,true,true,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,3,-0.8943121672085999,479.99999999999994,2156444
true,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,false,6,-0.9154501042251276,859.9999999999998,2234719
false,false,false,true,false,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,false,true,true,false,true,true,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,true,9,-0.9247477606742024,1553.0,2312765
true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,23,-0.9113173296354838,3846.9999999999973,2392170
