dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,false,false,false,true,false,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,false,4,-0.928336205491299,576.9999999999997,1269212
true,true,false,false,true,true,false,true,true,true,false,true,false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false,false,1,-0.5557775018082439,118.99999999999997,1340173
true,true,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,true,true,false,2,-0.8488298862313107,340.00000000000006,1413723
true,true,true,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,true,false,true,true,false,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,20,-0.9510586997112054,2687.0000000000005,1488786
false,false,false,false,true,true,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false,17,-0.9151247451725928,2477.0,1563570
true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,false,false,true,true,false,false,false,false,23,-0.90472842062361,3616.999999999996,1638429
true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,true,false,6,-0.9512185241613021,771.9999999999997,1713088
true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,30,-0.882490291990402,3544.9999999999995,1788420
true,false,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,34,-0.9013960991133707,4439.000000000001,1865648
false,false,false,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,true,true,true,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,true,false,20,-0.9207050104903834,2984.9999999999973,1943186
