s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,true,true,true,false,false,true,false,false,true,true,false,true,false,true,false,true,true,true,false,false,true,false,false,false,false,true,false,true,true,false,false,false,true,true,true,true,true,true,true,false,false,1,-0.8878734630955583,61.0,500665
false,false,true,false,true,false,true,false,false,true,false,true,true,true,true,false,true,false,false,false,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,5,-0.8830488234648877,291.0,533678
false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,5,-0.9598527685045107,310.0,565362
false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,false,false,true,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,5,-0.9205160827589399,310.0,596643
false,true,true,true,false,true,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,true,true,true,false,true,false,true,false,false,false,true,true,true,false,true,10,-0.8915709443222434,642.0,628100
false,true,true,false,false,true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,false,false,6,-0.8965032052340508,320.0,654510
false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,6,-0.9105554212153741,311.0,685619
false,true,true,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,3,-0.9436142613749369,210.0,716236
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,2,-0.9710601455282306,150.0,745949
false,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,10,-0.9682462421282383,701.0,777426
false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,true,false,false,false,true,false,true,true,true,true,true,7,-0.951918156370788,471.0,808904
false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.9702578942974988,110.0,838332
false,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,4,-0.9738053066749613,320.0,868646
false,true,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,true,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,true,true,10,-0.9599222684495727,529.0,899568
false,true,false,true,false,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,true,3,-0.9540420759216033,260.0,930416
false,false,true,true,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,true,true,false,true,true,false,8,-0.9152728856533922,482.0,961817
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,-0.8999399528667895,200.0,992874
false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,false,false,true,true,true,false,false,false,false,true,false,true,false,true,false,true,true,true,false,true,true,false,false,true,false,false,false,true,false,10,-0.9545016564923451,520.0,1023321
false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,true,false,true,true,4,-0.9285026576604285,240.0,1052922
false,true,false,false,true,false,true,true,true,false,true,true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,3,-0.8776153611304798,229.0,1083160
true,false,true,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true,true,true,false,true,true,true,false,10,-0.9194276950232962,551.0,1109641
false,true,false,true,false,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,true,true,true,false,false,true,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,true,false,true,true,true,2,-0.976067961752659,170.0,1139046
