s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,8,-0.9249164849805686,430.0,496521
false,false,false,true,false,true,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,true,6,-0.8919639084232388,331.0,527031
false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,9,-0.8623733613479015,281.0,557525
false,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,false,false,true,false,true,10,-0.895622181373739,512.0,587579
true,true,false,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9334275597120086,230.0,617761
false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,true,9,-0.914535678289516,521.0,648176
true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.964025509060582,250.0,677789
false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9492119535050043,260.0,707719
false,true,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.930966309072765,240.0,737596
false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.930966309072765,250.0,767311
false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false,true,9,-0.9165852552670027,561.0,797785
false,false,true,true,true,true,false,false,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,true,false,false,false,true,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,false,true,true,false,true,9,-0.9373205981476728,490.0,828919
false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9330943015992574,190.0,858638
false,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,2,-0.9039722937011329,140.0,887661
false,true,true,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,8,-0.8926785145025925,380.0,918787
false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,true,false,false,true,false,true,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,3,-0.8747344287264541,211.0,948904
true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.930966309072765,221.0,979118
true,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9723314812044618,241.0,1008685
true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,2,-0.8867910271546918,181.0,1037919
false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9492119535050043,260.0,1067821
false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,false,false,true,false,true,1,-0.7960531023770903,61.0,1096814
true,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.8659140577755676,261.0,1126553
false,true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,2,-0.8864752408433361,169.0,1155608
false,false,false,true,false,true,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.943408837517604,229.0,1185831
false,false,false,false,true,false,true,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,9,-0.9347014776630928,421.0,1216485
false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,true,true,false,true,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,5,-0.9289593547977804,239.0,1247240
true,false,false,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,false,true,false,true,true,true,false,true,false,false,false,false,true,true,false,true,false,true,false,true,false,false,4,-0.9445055205470629,250.0,1272598
true,false,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,2,-0.8567833891959149,170.0,1302218
false,true,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,true,true,1,-0.7960531023770903,70.0,1331644
false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,true,false,false,false,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true,true,false,false,true,false,false,4,-0.9455171532516704,191.0,1361451
false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,false,true,false,false,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,false,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,true,false,9,-0.9202899664026837,580.0,1393008
false,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,1,-0.6373977799016394,51.0,1422403
true,true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,2,-0.8864752408433361,161.0,1452297
false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,6,-0.909251753603408,401.0,1484114
false,true,false,false,true,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,false,false,true,false,true,false,5,-0.9435337658306056,270.0,1514945
true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,3,-0.9005183514640807,151.0,1540946
false,false,false,true,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9492119535050043,240.0,1571041
false,false,false,true,false,false,true,true,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,2,-0.8797956622082272,170.0,1600520
false,true,true,true,true,true,true,true,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,true,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,7,-0.9051494827106795,370.0,1631726
false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,false,false,true,true,true,false,false,true,false,false,true,true,false,true,false,3,-0.8991203909486495,119.0,1661398
false,false,true,true,true,true,true,true,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,true,true,false,true,2,-0.9160679617526588,151.0,1690560
false,true,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.9340172474389512,220.0,1720603
false,true,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,false,false,false,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,false,true,true,false,true,5,-0.9545331529190778,300.0,1751062
false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,false,false,true,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,9,-0.8786836290328726,530.0,1782216
false,true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,1,-0.8116461130299847,50.0,1811413
false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,4,-0.930966309072765,210.0,1841023
false,true,true,true,false,false,false,true,false,false,true,false,true,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,true,false,true,true,false,false,true,4,-0.9646189465376716,231.0,1870841
false,false,false,false,false,true,false,false,true,true,true,false,true,true,true,true,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,7,-0.9172052221396599,360.0,1902371
false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,true,false,false,10,-0.9139978644835136,551.0,1932901
false,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,true,5,-0.9591200918170049,311.0,1963787
true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,true,true,false,true,2,-0.9882338486748562,160.0,1993006
false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,4,-0.9663102793878662,271.0,2023616
false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,true,true,false,false,false,false,5,-0.9383852396814649,282.0,2053903
false,false,false,true,true,true,false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,false,true,false,true,false,8,-0.8938847102220908,422.0,2085043
false,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,true,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,false,true,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,7,-0.9223367240257462,370.0,2116128
