s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,-0.8869041526935046,382.0,703355.0,9
True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,8,-0.9424154173880834,1256.0,769958.0,9
False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,True,True,3,-0.8779335641124648,434.0,834192.0,9
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1,-0.8734918639447093,146.0,899412.0,10
True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1,-0.7951443329642743,160.0,964319.0,10
False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,13,-0.9308159517122624,2093.0,1032738.0,10
False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,False,1,-0.5557775018082439,134.0,1097122.0,10
True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,-0.911589130205587,2167.0,1165309.0,11
False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,50,-0.915783867323569,7439.0,1228398.0,11
True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,1,-0.7951443329642743,116.0,1293275.0,11
