dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,10,-0.9387710582126372,1470.9999999999995,1250748
true,false,false,true,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,7,-0.8822721109714182,984.0000000000001,1320822
true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,true,true,7,-0.9259156360597126,1056.0000000000002,1391871
false,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,7,-0.9384482644544414,806.9999999999997,1462154
false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,false,false,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,7,-0.928899840129105,822.0,1533011
true,false,true,false,false,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,false,true,true,true,true,10,-0.938690958386544,1914.9999999999998,1604915
false,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,false,true,false,true,7,-0.9378660529022161,947.9999999999994,1676018
false,false,false,true,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,7,-0.9302191183045351,921.0000000000001,1747976
false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,true,true,false,true,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,7,-0.9286119477121889,889.0,1819868
false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,7,-0.9546613571699053,946.0,1891603
false,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,7,-0.9243037538242459,849.9999999999995,1963090
false,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,true,false,true,7,-0.8964505067010765,833.0000000000001,2033205
false,false,true,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true,false,7,-0.9625008654681407,930.0000000000001,2102620
false,false,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,false,7,-0.9627703516506825,1034.9999999999998,2173252
false,false,true,true,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true,false,7,-0.9558322727087549,982.9999999999999,2243615
false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,false,true,7,-0.9461160215249996,1068.9999999999998,2314592
false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,true,false,true,false,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,7,-0.9636611157499291,913.9999999999997,2384585
false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,true,7,-0.9449230640144364,868.0000000000001,2453665
false,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,true,false,true,false,7,-0.8750747077377536,881.0000000000001,2524136
false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,true,true,true,false,true,7,-0.9634784144961752,911.9999999999997,2595208
false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,7,-0.9689149886774493,881.0000000000001,2665807
true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,false,true,false,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,7,-0.9087285347413196,925.9999999999999,2737393
false,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,true,true,true,true,false,false,true,true,true,false,false,7,-0.9388974581589257,923.9999999999998,2807285
false,false,true,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,false,true,false,true,true,false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,true,true,true,false,7,-0.9498908870707196,883.9999999999999,2877539
false,false,true,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,false,true,true,false,true,true,false,7,-0.9641419555227116,916.9999999999994,2948139
false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,false,true,true,true,false,true,false,7,-0.9675611464016088,826.9999999999999,3018776
false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,7,-0.9514140237907129,894.9999999999999,3088564
false,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,true,false,false,true,true,false,true,true,false,true,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,7,-0.9210165797025616,809.9999999999994,3158959
false,false,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,7,-0.9643311827241405,767.9999999999997,3229583
false,false,true,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,false,false,true,true,true,false,true,false,true,true,true,false,7,-0.9551976653506006,933.9999999999994,3299289
false,false,false,true,true,false,true,true,false,false,true,true,false,true,true,false,false,false,true,false,false,true,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,true,true,false,7,-0.9530060643691142,706.9999999999999,3369851
false,false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,7,-0.9620234847383156,817.9999999999995,3440716
false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,false,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,true,false,7,-0.9465351858396464,692.0,3510873
false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,true,true,false,true,true,true,false,false,false,7,-0.9445128510633568,708.0,3582147
false,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,false,true,false,false,true,false,true,false,false,true,false,true,true,true,true,false,false,7,-0.9647836627682995,905.9999999999997,3653940
false,false,false,false,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,true,false,7,-0.9438059045273484,775.9999999999999,3724759
false,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,7,-0.9541795736161209,918.9999999999995,3795383
false,false,false,true,true,true,true,true,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,22,-0.9256888376542075,2070.9999999999995,3866051
false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,true,true,false,false,true,false,7,-0.9564390115209617,842.0,3936175
true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,7,-0.9589272025540527,952.9999999999995,4006383
false,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,7,-0.9239733760517994,912.9999999999997,4076544
false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,7,-0.9629870912785119,1008.9999999999995,4147366
false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,false,true,false,true,true,true,true,false,true,true,true,false,false,false,7,-0.9455625649164245,934.9999999999995,4218059
true,false,true,false,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false,false,7,-0.9429841385045424,971.9999999999999,4289971
true,false,false,false,true,false,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,false,true,true,true,true,true,true,7,-0.945691128257441,844.9999999999998,4360409
