s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,True,False,18.0,-0.936824658878345,2429.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,46.0,-0.876255554766863,6435.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,27.0,-0.9149403544940599,4127.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
True,True,False,True,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,6.0,-0.9211672058622049,1003.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
True,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,42.0,-0.9258797325808353,4531.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,14.0,-0.9215356199018873,2297.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
False,False,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,11.0,-0.9173763568067482,1596.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,False,True,False,32.0,-0.8723111716522512,4139.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
True,False,False,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,1.0,-0.8780316897108398,203.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,29.0,-0.9271870537707688,4069.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-22-14-12-50
