eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
50,0,0.8,32,49,0,3,False
50,1,0.8,32,48,0,10,False
51,0,0.8,32,50,0,4,False
51,1,0.8,32,49,0,10,False
52,0,0.8,32,51,0,5,False
52,1,0.8,32,50,0,10,False
53,0,0.8,32,52,0,6,False
53,1,0.8,32,51,0,10,False
54,0,0.8,32,53,0,7,False
54,1,0.8,32,52,0,10,False
55,0,0.8,32,54,0,7,False
55,1,0.8,32,53,1,0,False
56,0,0.8,32,55,0,7,False
56,1,0.8,32,54,2,0,False
57,0,0.8,32,56,0,8,False
57,1,0.8,32,55,2,0,False
58,0,0.8,32,57,0,8,False
58,1,0.8,32,56,0,1,False
59,0,0.8,32,58,0,9,False
59,1,0.8,32,57,0,1,False
60,0,0.8,32,59,0,10,False
60,1,0.8,32,58,0,1,False
61,0,0.8,32,60,0,10,False
61,1,0.8,32,59,0,2,False
62,0,0.8,32,61,0,11,False
62,1,0.8,32,60,0,2,False
63,0,0.8,32,62,0,11,False
63,1,0.8,32,61,0,3,False
64,0,0.8,32,63,0,11,False
64,1,0.8,32,62,0,4,False
65,0,0.8,32,64,0,11,False
65,1,0.8,32,63,0,5,False
66,0,0.8,32,65,0,11,False
66,1,0.8,32,64,0,6,False
67,0,0.8,32,66,0,12,False
67,1,0.8,32,65,0,6,False
68,0,0.8,32,67,0,12,False
68,1,0.8,32,66,0,7,False
69,0,0.8,32,68,0,13,False
69,1,0.8,32,67,0,7,False
70,0,0.8,32,69,0,14,False
70,1,0.8,32,68,0,7,False
71,0,0.8,32,70,0,15,False
71,1,0.8,32,69,0,7,False
72,0,0.8,32,71,0,15,False
72,1,0.8,32,70,0,8,False
73,0,0.8,32,72,0,15,False
73,1,0.8,32,71,1,0,False
74,0,0.8,32,73,0,15,False
74,1,0.8,32,72,0,1,False
75,0,0.8,32,74,0,15,False
75,1,0.8,32,73,0,2,False
76,0,0.8,32,75,0,16,False
76,1,0.8,32,74,0,2,False
77,0,0.8,32,76,0,17,False
77,1,0.8,32,75,0,2,False
78,0,0.8,32,77,0,18,False
78,1,0.8,32,76,0,2,False
79,0,0.8,32,78,0,19,False
79,1,0.8,32,77,0,2,False
80,0,0.8,32,79,0,19,False
80,1,0.8,32,78,0,3,False
81,0,0.8,32,80,0,20,False
81,1,0.8,32,79,0,3,False
82,0,0.8,32,81,0,21,False
82,1,0.8,32,80,0,3,False
83,0,0.8,32,82,0,21,False
83,1,0.8,32,81,0,4,False
84,0,0.4,16,67,0,0,False
84,1,0.8,32,82,0,4,False
85,0,0.4,16,68,0,0,False
85,1,0.8,32,83,0,5,False
86,0,0.4,16,68,0,0,False
86,1,0.8,32,84,0,6,False
87,0,0.4,16,69,0,1,False
87,1,0.8,32,85,0,6,False
88,0,0.4,16,70,0,2,False
88,1,0.8,32,86,0,6,False
89,0,0.4,16,70,0,2,False
89,1,0.8,32,87,0,7,False
90,0,0.4,16,71,0,2,False
90,1,0.8,32,88,0,8,False
91,0,0.4,16,71,0,2,False
91,1,0.8,32,89,0,9,False
92,0,0.4,16,72,0,3,False
92,1,0.8,32,90,0,9,False
93,0,0.4,16,73,0,4,False
93,1,0.8,32,91,0,9,False
94,0,0.4,16,74,0,5,False
94,1,0.8,32,92,0,9,False
95,0,0.4,16,75,0,6,False
95,1,0.8,32,93,0,9,False
96,0,0.4,16,76,0,6,False
96,1,0.8,32,94,0,10,False
97,0,0.4,16,77,0,7,False
97,1,0.8,32,95,0,10,False
98,0,0.4,16,78,0,7,False
98,1,0.8,32,96,0,11,False
99,0,0.4,16,79,0,7,False
99,1,0.8,32,97,0,12,False
100,0,0.4,16,80,0,7,False
100,1,0.8,32,98,0,13,False
101,0,0.4,16,80,0,7,False
101,1,0.8,32,99,0,14,False
102,0,0.4,16,81,0,7,False
102,1,0.8,32,100,0,15,False
103,0,0.4,16,82,0,7,False
103,1,0.8,32,101,0,16,False
104,0,0.4,16,83,0,7,False
104,1,0.8,32,102,0,17,False
105,0,0.4,16,84,0,7,False
105,1,0.8,32,103,0,18,False
106,0,0.4,16,84,0,7,False
106,1,0.8,32,104,0,19,False
107,0,0.4,16,85,0,7,False
107,1,0.8,32,105,0,20,False
108,0,0.4,16,86,0,7,False
108,1,0.8,32,106,0,21,False
109,0,0.4,16,87,0,7,False
109,1,0.4,16,87,0,0,False
110,0,0.4,16,88,0,7,False
110,1,0.4,16,88,0,1,False
111,0,0.4,16,89,0,7,False
