Index,LastValue,BestValue,Time
0.0,0.2479292436672539,0.07055665231928987,16.928597450256348
1.0,0.12362371990796253,0.07055665231928987,15.69626259803772
2.0,0.020145916444020646,0.020145916444020646,16.44616460800171
3.0,-0.13440470305311367,-0.13440470305311367,16.689515590667725
4.0,0.11443538152609702,-0.13440470305311367,16.4408061504364
5.0,0.19728802370105536,-0.13440470305311367,16.003172874450684
6.0,0.18823780985393226,-0.13440470305311367,16.593588829040527
7.0,0.5011000582188188,-0.13440470305311367,15.687694787979126
8.0,-0.057680480268467164,-0.13440470305311367,15.502691507339478
9.0,-0.1414968406633815,-0.1414968406633815,13.247664451599121
10.0,0.19578191045017546,-0.1414968406633815,16.067575931549072
11.0,0.00909483899105704,-0.1414968406633815,15.664553165435791
12.0,0.4085144435436509,-0.1414968406633815,15.135688781738281
13.0,0.09911300635435913,-0.1414968406633815,15.327175617218018
14.0,0.1877360616045709,-0.1414968406633815,15.084463357925415
15.0,-0.073411540191797,-0.1414968406633815,15.452364444732666
16.0,-0.04715153146379451,-0.1414968406633815,15.908020734786987
17.0,0.046381574292304814,-0.1414968406633815,15.48094654083252
18.0,0.47473658436102106,-0.1414968406633815,14.750884771347046
19.0,-0.1715083312662407,-0.1715083312662407,15.171812057495117
20.0,-0.20284825683336588,-0.20284825683336588,15.155958652496338
21.0,0.3892258282224237,-0.20284825683336588,15.719964504241943
22.0,-0.15662494392211845,-0.20284825683336588,15.63651967048645
23.0,-0.2033731033869294,-0.2033731033869294,15.315836906433105
24.0,-0.16064329512225262,-0.2033731033869294,15.470060348510742
25.0,-0.13797018892792173,-0.2033731033869294,16.18195629119873
26.0,-0.20489788202514547,-0.20489788202514547,15.553477048873901
27.0,0.21914906309965704,-0.20489788202514547,15.538900375366211
28.0,-0.17557772184890977,-0.20489788202514547,15.827054738998413
29.0,0.2132839045846043,-0.20489788202514547,15.123412132263184
30.0,1.552223844077151,-0.20489788202514547,14.276578664779663
31.0,0.18156457360842584,-0.20489788202514547,12.896077394485474
32.0,-0.19327671837926633,-0.20489788202514547,12.565423965454102
33.0,-0.18356956972357377,-0.20489788202514547,16.531398057937622
34.0,-0.14627607054536357,-0.20489788202514547,15.214691162109375
35.0,0.49758400726730617,-0.20489788202514547,14.917491912841797
36.0,-0.13377844685359522,-0.20489788202514547,15.557528972625732
37.0,-0.18723532264710593,-0.20489788202514547,15.907968759536743
38.0,-0.19933776210962728,-0.20489788202514547,15.775381326675415
39.0,0.40144840896425,-0.20489788202514547,15.541450262069702
40.0,-0.16494330331356746,-0.20489788202514547,15.053405284881592
41.0,0.21207771092552305,-0.20489788202514547,15.75440263748169
42.0,-0.16959377251341484,-0.20489788202514547,15.469620943069458
43.0,0.38212174727236736,-0.20489788202514547,16.637454986572266
44.0,-0.13341601990684335,-0.20489788202514547,15.245027542114258
45.0,-0.19567363116227132,-0.20489788202514547,15.990501880645752
46.0,-0.18395979063063633,-0.20489788202514547,15.088296175003052
47.0,-0.15339969311351354,-0.20489788202514547,15.283844470977783
48.0,0.027185957143886733,-0.20489788202514547,15.422825574874878
49.0,-0.2024198769630095,-0.20489788202514547,15.616747617721558
