s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,14,-0.9015962574074727,2169.0,145123
true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,20,-0.9096696088969755,2761.0,286866
true,false,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,22,-0.9310336042589871,3371.0,426965
true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,false,false,6,-0.89928160707544,782.0,568236
true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,false,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,false,true,true,false,false,false,22,-0.8921127629855418,3405.0,633283
false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,false,false,23,-0.8933965357182265,3803.0,775795
true,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,true,false,1,-0.8734918639447093,119.0,907200
true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,false,false,false,1,-0.7951443329642743,171.0,970195
true,true,false,false,false,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,23,-0.9172359717441986,3177.0,1034342
false,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,16,-0.9165148492655805,2387.0,1174710
true,true,true,true,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,13,-0.925377660337162,2022.0,1316927
true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,3,-0.936463347084244,452.0,1454397
true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,1,-0.5557775018082439,183.0,1514488
false,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,true,false,true,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,11,-0.9179630233875923,1714.0,1657733
false,true,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,true,false,true,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,false,false,true,false,19,-0.9337322094895046,3041.0,1799833
true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,12,-0.9491773914287442,1910.0,1942911
false,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false,true,false,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,false,false,false,false,false,7,-0.923808320481882,876.0,2083519
true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true,false,false,true,false,false,true,false,false,37,-0.93875855792992,6211.0,2224693
false,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,32,-0.9116682370155622,5011.0,2366624
true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,6,-0.8956018462396583,775.0,2429665
true,false,true,false,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,45,-0.8898503810829694,4639.0,2571294
true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,3,-0.8998562087667293,591.0,2642277
true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,3,-0.9375348535128382,578.0,2713814
true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2,-0.8808602065295358,377.0,2856837
false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,1,-0.8734918639447093,121.0,2925843
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,3,-0.9269531403464003,480.0,2996238
true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,1,-0.8734918639447093,140.0,3065699
true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,10,-0.9514827573620418,1634.0,3214775
false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,5,-0.8655607235311125,712.0,3362396
true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,1,-0.8734918639447093,152.0,3431211
true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,false,true,true,true,false,true,true,false,true,true,true,false,true,20,-0.9411544101264431,3467.0,3494950
true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,4,-0.9606993054656076,704.0,3640388
true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,3,-0.9220561967508825,575.0,3710637
true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,3,-0.922050652873893,574.0,3782320
true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,false,4,-0.9540035644430505,688.0,3853684
