s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,false,true,true,1,-0.5557775018082439,150.0,65899
true,true,false,false,false,false,true,true,false,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,true,false,true,true,true,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false,true,true,true,false,false,1,-0.7985027289542492,154.0,133002
true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,1,-0.8250605616479761,185.0,199475
true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,true,true,false,true,false,3,-0.9358761481072895,584.0,267652
true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,false,false,false,true,true,false,true,true,false,true,true,1,-0.7828290644512629,168.0,333704
false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true,2,-0.8394519790232513,422.0,399940
true,true,true,false,true,false,true,true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,1,-0.8250605616479761,154.0,465731
false,false,true,false,true,false,true,true,false,false,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,false,true,false,true,false,true,false,true,false,true,true,false,true,false,false,true,true,false,true,2,-0.8466003227676344,383.0,531944
true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,1,-0.8734918639447093,170.0,598657
false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,1,-0.7985027289542492,186.0,666552
