s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,26,-0.8771044342480427,4335.0,1320619.0,11
False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,23,-0.9388390389896006,3369.0,1387420.0,11
False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,4,-0.9242482299274324,700.0,1451857.0,11
False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True,False,False,17,-0.8967093539563209,2877.0,1514683.0,11
False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,8,-0.933511907961784,1161.0,1579493.0,12
False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,True,True,9,-0.8850242668061158,1057.0,1646565.0,12
False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,4,-0.912725516385142,524.0,1713214.0,12
True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,33,-0.9322987168761112,4963.0,1781153.0,12
True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,8,-0.937780079779146,1041.0,1847181.0,13
True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,False,True,False,4,-0.9223495750670396,799.0,1912185.0,13
