s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,29.0,-0.9143487858341821,5591.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,8.0,-0.8656426266123969,1157.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,True,True,False,19.0,-0.92979328810154,3117.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,True,43.0,-0.9244525914963783,5831.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,True,1.0,-0.8992084772064407,410.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,35.0,-0.9409834801401428,5335.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,47.0,-0.9313978825772223,6511.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,True,15.0,-0.9145462171903651,2311.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,38.0,-0.9454615311851671,6647.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False,True,22.0,-0.8631585142126555,3095.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,True,False,True,True,False,0.0,-0.5557775018082439,142.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/50_10_500_trials_5/improved/max50_init10_iter490_damp1.0_2026-06-20-16-55-43
